STATURE,BMI,MASS,HEAD_CIRC
1722,25.5,75.5,577
1829,26.7,89.2,586
1890,23.1,82.4,564
1807,29.1,95.1,600
1640,27.6,74.1,567
1752,28.9,88.6,549
1675,25.6,72.0,564
1782,28.0,88.9,585
1881,21.5,76.0,544
1831,25.6,85.7,590
1806,25.1,81.9,585
1849,23.4,80.0,554
1728,28.6,85.3,560
1741,27.0,82.0,571
1687,23.8,67.7,566
1778,22.8,72.2,575
1651,29.7,81.0,556
1827,30.5,101.9,603
1806,32.6,106.4,584
1788,28.1,89.8,582
1733,20.5,61.5,544
1886,23.6,83.9,586
1807,23.6,77.0,560
1826,25.0,83.5,570
1740,22.2,67.2,570
1911,24.9,91.0,572
1770,25.1,78.7,583
1785,19.6,62.5,561
1713,27.4,80.4,589
1782,29.1,92.2,574
1685,21.7,61.7,536
1873,23.0,80.7,567
1763,30.2,94.0,590
1778,24.1,76.2,559
1827,24.4,81.3,545
1797,22.0,71.1,562
1821,32.8,108.8,583
1746,22.4,68.3,550
1819,29.4,97.2,566
1766,33.0,103.1,587
1765,24.3,75.8,556
1696,24.0,69.1,556
1752,31.2,95.7,583
1689,25.6,72.9,550
1733,34.1,102.4,562
1726,25.4,75.6,549
1802,27.4,89.0,572
1715,24.5,72.2,544
1767,23.8,74.3,552
1770,22.6,71.0,553
1730,22.4,67.0,571
1655,26.9,73.8,578
1699,28.0,80.9,553
1771,32.4,101.7,577
1660,28.8,79.3,577
1903,20.1,72.8,583
1752,23.6,72.4,560
1714,28.9,85.0,569
1824,28.7,95.5,579
1787,25.3,80.8,569
1809,28.2,92.3,574
1691,25.1,71.9,576
1802,31.4,102.1,565
1740,30.8,93.3,557
1692,26.2,74.9,574
1732,22.1,66.4,568
1759,27.1,83.8,570
1886,27.1,96.4,575
1828,24.0,80.3,566
1664,26.0,72.1,558
1750,25.6,78.3,572
1857,23.1,79.5,557
1775,29.1,91.8,573
1783,24.3,77.2,567
1908,28.9,105.3,590
1748,21.9,67.1,573
1682,31.0,87.7,587
1891,25.9,92.5,585
1728,24.8,73.9,571
1720,25.6,75.6,574
1804,22.2,72.2,548
1760,24.9,77.3,554
1700,21.6,62.5,572
1679,27.3,77.1,580
1707,26.5,77.2,563
1698,23.5,67.7,571
1643,24.8,66.9,544
1597,22.0,56.1,547
1693,20.3,58.3,537
1801,24.6,79.8,553
1760,21.0,64.9,557
1741,29.6,89.8,547
1702,24.0,69.4,561
1728,23.6,70.3,551
1955,26.5,101.3,583
1667,25.8,71.6,550
1764,25.1,78.1,584
1744,23.5,71.4,583
1877,21.8,76.7,552
1878,28.3,99.7,583
1792,28.0,89.9,586
1895,27.2,97.7,548
1628,27.8,73.6,572
1717,25.5,75.1,546
1673,26.2,73.4,571
1732,26.4,79.3,591
1693,28.8,82.5,569
1783,26.8,85.3,570
1802,28.8,93.5,601
1801,27.0,87.4,577
1747,25.9,79.2,569
1775,26.2,82.6,566
1753,25.4,78.0,554
1760,28.9,89.4,590
1788,26.4,84.5,577
1837,19.9,67.1,536
1735,28.2,85.0,586
1756,29.4,90.7,577
1883,25.5,90.4,576
1722,29.8,88.5,575
1725,25.6,76.2,574
1762,30.2,93.9,577
1694,29.3,84.1,568
1834,26.0,87.5,565
1737,24.7,74.4,576
1697,33.5,96.3,581
1768,30.8,96.3,559
1912,21.0,76.8,576
1765,23.9,74.6,545
1724,26.6,78.9,555
1799,23.3,75.3,555
1786,34.1,108.8,610
1655,23.0,63.1,574
1774,23.4,73.5,557
1770,24.0,75.3,556
1815,39.5,130.3,587
1832,28.6,95.8,559
1767,27.8,86.9,560
1790,28.4,91.1,567
1706,23.6,68.8,565
1671,22.1,61.7,547
1718,21.6,63.9,536
1781,21.4,68.0,561
1620,23.6,62.0,538
1728,24.2,72.2,570
1776,22.1,69.6,563
1727,21.7,64.7,552
1720,26.3,77.7,568
1588,27.2,68.5,571
1725,33.2,98.9,567
1685,25.8,73.3,544
1796,28.3,91.3,561
1815,26.6,87.5,564
1805,27.2,88.5,562
1875,27.0,95.0,590
1837,30.9,104.4,595
1839,25.3,85.6,564
1677,24.1,67.9,581
1668,25.6,71.4,567
1705,25.9,75.2,569
1732,30.0,90.0,581
1737,28.4,85.8,567
1699,23.9,69.1,549
1836,22.6,76.2,569
1782,26.9,85.4,561
1802,28.4,92.1,565
1769,24.9,78.1,569
1682,25.1,71.0,544
1813,26.1,85.8,558
1716,30.4,89.4,553
1673,27.4,76.6,574
1808,23.6,77.0,566
1764,27.6,85.7,555
1699,25.1,72.4,569
1743,23.3,70.8,572
1685,23.1,65.6,564
1706,25.6,74.4,567
1838,25.7,86.9,578
1786,21.9,70.0,540
1738,20.1,60.6,546
1708,24.6,71.6,560
1724,22.7,67.6,543
1700,26.9,77.7,556
1751,23.8,72.9,582
1825,30.2,100.7,578
1691,34.2,97.8,563
1707,28.6,83.3,565
1728,26.8,79.9,578
1904,25.7,93.1,598
1727,27.1,80.7,553
1856,29.2,100.7,570
1731,29.8,89.3,557
1653,25.3,69.1,593
1699,28.3,81.7,549
1940,28.2,106.3,579
1687,27.8,79.2,564
1725,24.3,72.3,557
1759,23.3,72.0,573
1792,21.3,68.4,551
1700,26.9,77.9,586
1743,25.9,78.7,582
1715,28.6,84.0,546
1875,21.2,74.7,558
1650,33.0,89.8,556
1747,26.9,82.2,597
1748,24.6,75.2,563
1803,26.8,87.1,559
1775,25.8,81.3,559
1840,32.6,110.3,580
1763,25.7,79.8,559
1736,20.7,62.4,567
1732,25.5,76.4,552
1732,28.2,84.5,554
1714,30.6,89.9,566
