STATURE,BMI,MASS,ACROMION_HT
1771,24.2,75.9,1444
1608,25.6,66.1,1285
1682,30.3,85.6,1405
1778,25.4,80.3,1450
1857,32.4,111.6,1550
1744,25.5,77.7,1443
1832,33.8,113.3,1528
1622,25,65.7,1312
1742,24,72.8,1413
1777,29.1,92,1443
1822,28.8,95.5,1503
1748,27.1,82.9,1450
1836,24.8,83.7,1497
1748,33.8,103.4,1450
1712,27.6,81,1422
1820,25,82.7,1511
1823,21.7,72.2,1485
1690,24.8,70.9,1383
1572,27.8,68.7,1261
1875,28.6,100.4,1565
1811,24.3,79.6,1466
1599,29.3,74.8,1312
1777,31.5,99.6,1483
1730,27.4,82.2,1440
1778,27.9,88.3,1477
1692,22.8,65.1,1388
1850,23.8,81.6,1530
1751,29.7,91,1461
1764,24.3,75.6,1439
1813,25.1,82.7,1516
1772,27.6,86.8,1478
1802,25.6,83.2,1496
1722,25.5,75.5,1422
1829,26.7,89.2,1513
1890,23.1,82.4,1578
1807,29.1,95.1,1485
1640,27.6,74.1,1342
1752,28.9,88.6,1466
1675,25.6,72,1382
1782,28,88.9,1486
1881,21.5,76,1567
1831,25.6,85.7,1510
1806,25.1,81.9,1493
1849,23.4,80,1545
1728,28.6,85.3,1427
1741,27,82,1425
1687,23.8,67.7,1400
1778,22.8,72.2,1454
1651,29.7,81,1346
1827,30.5,101.9,1513
1806,32.6,106.4,1495
1788,28.1,89.8,1488
1733,20.5,61.5,1432
1886,23.6,83.9,1572
1807,23.6,77,1475
1826,25,83.5,1498
1740,22.2,67.2,1400
1911,24.9,91,1557
1770,25.1,78.7,1463
1785,19.6,62.5,1452
1713,27.4,80.4,1420
1782,29.1,92.2,1480
1685,21.7,61.7,1372
1873,23,80.7,1542
1763,30.2,94,1416
1778,24.1,76.2,1468
1827,24.4,81.3,1510
1797,22,71.1,1495
1821,32.8,108.8,1503
1746,22.4,68.3,1435
1819,29.4,97.2,1525
1766,33,103.1,1451
1765,24.3,75.8,1455
1696,24,69.1,1370
1752,31.2,95.7,1435
1689,25.6,72.9,1368
1733,34.1,102.4,1409
1726,25.4,75.6,1410
1802,27.4,89,1465
1715,24.5,72.2,1387
1767,23.8,74.3,1456
1770,22.6,71,1464
1730,22.4,67,1436
1655,26.9,73.8,1342
1699,28,80.9,1376
1771,32.4,101.7,1457
1660,28.8,79.3,1346
1903,20.1,72.8,1558
1752,23.6,72.4,1424
1714,28.9,85,1409
1824,28.7,95.5,1485
1787,25.3,80.8,1488
1809,28.2,92.3,1514
1691,25.1,71.9,1366
1802,31.4,102.1,1490
1740,30.8,93.3,1440
1692,26.2,74.9,1376
1732,22.1,66.4,1407
1759,27.1,83.8,1460
1886,27.1,96.4,1564
1828,24,80.3,1518
1664,26,72.1,1348
1750,25.6,78.3,1450
1857,23.1,79.5,1514
1775,29.1,91.8,1494
1783,24.3,77.2,1430
1908,28.9,105.3,1562
1748,21.9,67.1,1416
1682,31,87.7,1402
1891,25.9,92.5,1555
1728,24.8,73.9,1405
1720,25.6,75.6,1387
1804,22.2,72.2,1515
1760,24.9,77.3,1426
1700,21.6,62.5,1378
1679,27.3,77.1,1376
1707,26.5,77.2,1412
1698,23.5,67.7,1384
1643,24.8,66.9,1346
1597,22,56.1,1290
1693,20.3,58.3,1420
1801,24.6,79.8,1495
1760,21,64.9,1437
1741,29.6,89.8,1449
1702,24,69.4,1372
1728,23.6,70.3,1405
1955,26.5,101.3,1612
1667,25.8,71.6,1366
1764,25.1,78.1,1452
1744,23.5,71.4,1397
1877,21.8,76.7,1544
1878,28.3,99.7,1563
1792,28,89.9,1470
1895,27.2,97.7,1598
1628,27.8,73.6,1300
1717,25.5,75.1,1425
1673,26.2,73.4,1371
1732,26.4,79.3,1428
1693,28.8,82.5,1392
1783,26.8,85.3,1458
1802,28.8,93.5,1480
1801,27,87.4,1478
1747,25.9,79.2,1445
1775,26.2,82.6,1463
1753,25.4,78,1404
1760,28.9,89.4,1428
1788,26.4,84.5,1471
1837,19.9,67.1,1544
1735,28.2,85,1423
1756,29.4,90.7,1441
1883,25.5,90.4,1562
1722,29.8,88.5,1385
1725,25.6,76.2,1401
1762,30.2,93.9,1465
1694,29.3,84.1,1376
1834,26,87.5,1498
1737,24.7,74.4,1413
1697,33.5,96.3,1391
1768,30.8,96.3,1470
1912,21,76.8,1551
1765,23.9,74.6,1464
1724,26.6,78.9,1403
1799,23.3,75.3,1493
1786,34.1,108.8,1502
1655,23,63.1,1340
1774,23.4,73.5,1440
1770,24,75.3,1458
1815,39.5,130.3,1502
1832,28.6,95.8,1547
1767,27.8,86.9,1480
1790,28.4,91.1,1490
1706,23.6,68.8,1382
1671,22.1,61.7,1335
1718,21.6,63.9,1385
1781,21.4,68,1464
1620,23.6,62,1306
1728,24.2,72.2,1433
1776,22.1,69.6,1441
1727,21.7,64.7,1394
1720,26.3,77.7,1409
1588,27.2,68.5,1294
1725,33.2,98.9,1445
1685,25.8,73.3,1362
1796,28.3,91.3,1474
1815,26.6,87.5,1490
1805,27.2,88.5,1482
1875,27,95,1531
1837,30.9,104.4,1502
1839,25.3,85.6,1495
1677,24.1,67.9,1365
1668,25.6,71.4,1355
1705,25.9,75.2,1402
1732,30,90,1431
1737,28.4,85.8,1471
1699,23.9,69.1,1382
1836,22.6,76.2,1516
1782,26.9,85.4,1448
1802,28.4,92.1,1493
1769,24.9,78.1,1465
1682,25.1,71,1400
1813,26.1,85.8,1500
1716,30.4,89.4,1408
1673,27.4,76.6,1385
1808,23.6,77,1485
1764,27.6,85.7,1426
1699,25.1,72.4,1396
1743,23.3,70.8,1466
1685,23.1,65.6,1389
1706,25.6,74.4,1419
1838,25.7,86.9,1515
1786,21.9,70,1464
1738,20.1,60.6,1444
1708,24.6,71.6,1390
1724,22.7,67.6,1420
1700,26.9,77.7,1399
1751,23.8,72.9,1400
1825,30.2,100.7,1491
1691,34.2,97.8,1374
1707,28.6,83.3,1423
1728,26.8,79.9,1438
1904,25.7,93.1,1542
1727,27.1,80.7,1415
1856,29.2,100.7,1513
1731,29.8,89.3,1418
1653,25.3,69.1,1349
1699,28.3,81.7,1415
1940,28.2,106.3,1621
1687,27.8,79.2,1390
1725,24.3,72.3,1399
1759,23.3,72,1417
1792,21.3,68.4,1471
1700,26.9,77.9,1408
1743,25.9,78.7,1412
1715,28.6,84,1389
1875,21.2,74.7,1562
1650,33,89.8,1376
1747,26.9,82.2,1445
1748,24.6,75.2,1447
1803,26.8,87.1,1473
1775,25.8,81.3,1428
1840,32.6,110.3,1516
1763,25.7,79.8,1436
1736,20.7,62.4,1410
1732,25.5,76.4,1388
1732,28.2,84.5,1441
1714,30.6,89.9,1443
1763,26.1,81.2,1470
1650,24.1,65.6,1335
1654,29.2,80,1374
1726,23.8,70.8,1421
1843,26.2,89.1,1522
1858,24.6,84.9,1543
1705,26.1,75.8,1398
1760,26.2,81.3,1429
1782,24.6,78,1459
1727,24.4,72.7,1424
1713,28.4,83.2,1412
1714,36.1,106.1,1416
1668,22.9,63.6,1362
1814,26.6,87.7,1503
1612,20.4,53,1312
1793,21.8,70.1,1463
1762,27.2,84.5,1457
1860,19.4,67.1,1526
1741,27.1,82.1,1442
1672,23.7,66.4,1365
1800,27.8,90,1463
1703,32.3,93.7,1424
1773,26.9,84.6,1462
1772,28.4,89.3,1466
1835,26,87.7,1516
1687,30.8,87.6,1387
1765,28,87.3,1446
1684,20.6,58.5,1371
1742,24.6,74.7,1426
1584,24.4,61.2,1274
1805,21.7,70.6,1502
1727,30.8,91.7,1447
1743,24.3,73.7,1447
1743,25.4,77.2,1432
1726,24.8,74,1434
1708,22.2,64.8,1393
1783,27.4,87.3,1459
1795,27.2,87.8,1483
1827,26.4,88.1,1502
1725,22,65.4,1450
1805,21.9,71.4,1485
1781,24,76.2,1466
1641,27.4,73.8,1348
1803,31.6,102.6,1504
1754,26.9,82.8,1467
1708,32.3,94.2,1393
1928,26.2,97.2,1573
1724,25.9,76.9,1392
1811,31.6,103.7,1495
1745,24.9,75.7,1438
1732,20.7,62.2,1447
1753,31.7,97.4,1471
1795,26.9,86.6,1478
1771,27.5,86.1,1442
1717,21.6,63.7,1420
1639,24.7,66.4,1332
1686,27.4,78,1392
1770,20.9,65.4,1468
1813,29.9,98.2,1510
1818,29.3,96.7,1510
1934,28.8,107.8,1618
1782,23.3,73.9,1456
1698,23.3,67.2,1371
1812,20.8,68.3,1505
1625,30.1,79.5,1324
1745,27.1,82.6,1438
1789,26.4,84.6,1497
1715,20.7,60.9,1393
1686,24.5,69.6,1358
1640,26.1,70.1,1356
1685,26.7,75.8,1374
1729,21.1,63.1,1430
1615,25.7,67.1,1324
1718,19.9,58.6,1417
1776,27.7,87.5,1495
1821,22.3,73.9,1484
1740,27.4,83,1440
1777,23.1,72.9,1493
1778,27.6,87.3,1467
1698,26.5,76.3,1398
1831,21.3,71.5,1492
1826,29,96.6,1503
1628,27.8,73.6,1306
1712,25.1,73.6,1393
1794,28.8,92.7,1478
1721,29.8,88.4,1434
1797,26.2,84.5,1482
1748,24.2,74,1438
1785,20.9,66.5,1465
1686,23.4,66.6,1362
1807,29.3,95.7,1531
1668,28.2,78.6,1389
1829,23.7,79.4,1532
1829,24.8,82.9,1485
1625,26.9,71,1308
1704,28.1,81.6,1413
1740,29.3,88.7,1438
1731,25.1,75.2,1400
1761,25.4,78.9,1445
1762,28,87.1,1445
1713,24.8,72.7,1381
1845,21.8,74.3,1505
1793,23.4,75.2,1467
1695,23.6,67.8,1375
1733,26.5,79.7,1405
1802,26.4,85.6,1485
1727,27.8,82.9,1418
1777,24.3,76.7,1478
1667,26.8,74.5,1377
1838,22.8,77.1,1528
1682,28.5,80.5,1387
1844,25.4,86.5,1520
1748,28,85.4,1457
1732,27.1,81.2,1429
1733,24.5,73.5,1406
1665,29.9,82.8,1353
1843,20.9,71,1519
1762,24.7,76.6,1496
1800,31.9,103.4,1502
1725,23,68.5,1422
